Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
784;21100922942;"Teaching Exceptional Children";journal;"21635684, 00400599";0,266;Q3;3;93;49;1646;26;32;0,77;17,70;United Kingdom;Western Europe;"SAGE Publications Ltd";"2016, 2018-2020";"Education (Q3); Developmental and Educational Psychology (Q4)"
785;17700156749;"Intangible Capital";journal;"20143214, 16979818";0,265;Q3;13;14;123;662;132;122;0,96;47,29;Spain;Western Europe;"";"2009-2019";"Accounting (Q3); Business and International Management (Q3); Education (Q3); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)"
786;19700170288;"Visual Communication Quarterly";journal;"15551407, 15551393";0,265;Q3;15;21;74;597;33;49;0,69;28,43;United Kingdom;Western Europe;"Routledge";"1994-2020";"Communication (Q2); Education (Q3)"
787;5000157601;"Advances in Special Education";book series;"02704013";0,264;Q3;7;14;36;660;18;21;0,00;47,14;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001, 2003-2004, 2006, 2008-2016, 2018-2019";"Clinical Psychology (Q3); Education (Q3)"
788;21100897232;"REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion";journal;"16964713";0,263;Q3;3;20;29;969;20;29;0,69;48,45;Spain;Western Europe;"Universidad Autonoma de Madrid";"2018-2019";"Cultural Studies (Q1); Sociology and Political Science (Q2); Education (Q3)"
789;21100887440;"Educational Studies - AESA";journal;"00131946, 15326993";0,262;Q3;3;45;45;2077;19;43;0,44;46,16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2020";"Sociology and Political Science (Q2); Education (Q3)"
790;21100865401;"International Journal on E-Learning: Corporate, Government, Healthcare, and Higher Education";journal;"15372456, 19435932";0,262;Q3;9;5;71;139;31;71;0,53;27,80;United States;Northern America;"Association for the Advancement of Computing in Education";"2011-2019";"Computer Science Applications (Q3); Education (Q3)"
791;21100897169;"Studies in the Education of Adults";journal;"02660830, 14789833";0,262;Q3;25;25;48;1056;35;41;0,86;42,24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Sociology and Political Science (Q2); Education (Q3)"
792;21100229117;"Journal for Advancement of Marketing Education";journal;"15375137, 23263296";0,261;Q3;7;8;29;328;20;27;0,44;41,00;United States;Northern America;"";"2012-2019";"Education (Q3); Marketing (Q3)"
793;19700183077;"Research in Dance Education";journal;"14701111, 14647893";0,261;Q3;12;25;64;760;44;55;0,72;30,40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Visual Arts and Performing Arts (Q1); Education (Q3)"
794;21100782676;"Teaching Public Administration";journal;"01447394, 20478720";0,261;Q3;8;28;58;988;41;53;0,86;35,29;United States;Northern America;"SAGE Publications Inc.";"1979-1980, 1982-2007, 2009, 2012-2020";"Education (Q3); Public Administration (Q3)"
795;5700153334;"Changing English";journal;"1358684X";0,259;Q3;14;40;110;1129;49;96;0,44;28,23;United States;Northern America;"Routledge";"1994-2020";"Cultural Studies (Q1); Education (Q3)"
796;19700201168;"Action Learning: Research and Practice";journal;"14767341, 14767333";0,258;Q3;10;32;85;662;40;62;0,57;20,69;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Business, Management and Accounting (miscellaneous) (Q3); Education (Q3)"
797;21100907391;"Australian Journal of Career Development";journal;"22006974";0,258;Q3;8;22;48;1139;38;47;0,62;51,77;United Kingdom;Western Europe;"SAGE Publications Ltd";"2012-2020";"Education (Q3); Organizational Behavior and Human Resource Management (Q3)"
798;18388;"Computers in Education Journal";journal;"10693769";0,258;Q3;13;15;74;488;43;73;0,71;32,53;United States;Northern America;"American Society for Engineering Education";"1994-2019";"Computer Science (miscellaneous) (Q3); Education (Q3)"
799;8300153114;"International Perspectives on Inclusive Education";book series;"14793636";0,258;Q3;6;18;82;470;31;59;0,58;26,11;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001, 2012, 2014-2017, 2019";"Education (Q3)"
800;13600154749;"South African Journal for Research in Sport, Physical Education and Recreation";journal;"03799069";0,258;Q3;12;30;142;1290;75;141;0,35;43,00;South Africa;Africa;"University of Stellenbosch";"2008-2019";"Education (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Sports Science (Q4)"
801;30061;"History of Education Quarterly";journal;"00182680";0,256;Q3;9;14;77;1872;25;69;0,20;133,71;United States;Northern America;"Cambridge University Press";"1967, 1971-1972, 1974-1976, 1978, 1980-1981, 1983-1986, 1999-2000, 2002-2003, 2008-2019";"History (Q1); Education (Q3)"
802;19600157369;"Journal of Physician Assistant Education";journal;"19419449, 19419430";0,256;Q3;12;50;166;230;54;132;0,32;4,60;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2009-2020";"Medical Assisting and Transcription (Q1); Education (Q3)"
803;19700201532;"Revista Iberoamericana de Tecnologias del Aprendizaje";journal;"19328540";0,256;Q3;13;23;84;790;121;84;1,32;34,35;United States;Northern America;"IEEE Education Society";"2006-2019";"Engineering (miscellaneous) (Q2); Education (Q3); E-learning (Q3)"
804;21100898602;"Vysshee Obrazovanie v Rossii";journal;"08693617, 20720459";0,256;Q3;6;130;179;2202;137;178;0,77;16,94;Russian Federation;Eastern Europe;"Moscow Polytechnic University";"2018-2019";"Sociology and Political Science (Q2); Education (Q3)"
805;21100890306;"Journal of Physical Education, Recreation and Dance";journal;"07303084, 21683816";0,254;Q3;3;111;106;1582;44;73;0,60;14,25;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2020";"Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)"
